candidate_id,rank,score,reasoning
CAND_0086180,57,24.07,"Leverages 5.2 years of background as a QA Engineer, particularly skilled in AWS, BigQuery, Speech Recognition. Acceptable profile. While capable, other candidates offer more direct experience."
CAND_0001533,58,24.01,"Due to their solid 8.1 years working as a DevOps Engineer with Computer Vision, Sales, Project Management, they rank as an acceptable profile. While capable, other candidates offer more direct experience."
CAND_0075061,59,23.93,"Leverages 5.3 years of background as a Mobile Developer, particularly skilled in SQL, Python, PowerPoint. Moderate fit. They lack the deeper specialization seen in top candidates."
CAND_0028799,60,23.91,"Moderate fit. Leverages 5.1 years of background as a Mobile Developer, particularly skilled in MLflow, CSS, Go. While capable, other candidates offer more direct experience."
CAND_0006060,61,23.88,"They are acceptable but lacking some depth. A 7.2-year Senior Software Engineer whose core strengths include Machine Learning, Time Series, Content Writing. They lack the deeper specialization seen in top candidates."
CAND_0016851,62,23.87,"They are an acceptable profile. A 6.7-year Mechanical Engineer whose core strengths include gRPC, Time Series, Apache Flink. Outcompeted by peers on specific technical depth."
CAND_0059577,63,23.87,"Due to their solid 9.8 years working as a Mechanical Engineer with Go, Azure, Flask, they rank as a moderate fit. Doesn't quite match the strict technical density we want."
CAND_0066168,64,23.85,"Reasonable candidate. With 5.4 years under their belt, this Accountant stands out for SEO, Snowflake, Six Sigma. They lack the deeper specialization seen in top candidates."
CAND_0059179,65,23.8,"Considered a moderate fit primarily due to their 9.9 years of experience in REST APIs, Terraform, Feature Engineering as a Mechanical Engineer. They lack the deeper specialization seen in top candidates."
CAND_0020770,66,23.75,"Reasonable candidate. Leverages 3.6 years of background as a Senior Data Engineer, particularly skilled in Time Series, Reinforcement Learning, TypeScript. They lack the deeper specialization seen in top candidates."
CAND_0010205,67,23.71,"Brings 4.3 years as a .NET Developer with deep knowledge in Apache Flink, Diffusion Models, Azure. Reasonable candidate. Outcompeted by peers on specific technical depth."
CAND_0037671,68,23.71,"Due to their solid 7.4 years working as a Mobile Developer with ETL, Feature Engineering, SQL, they rank as a reasonable candidate. While capable, other candidates offer more direct experience."
CAND_0085959,69,23.71,"Moderate fit. Leverages 4.9 years of background as a Software Engineer, particularly skilled in Spring Boot, OpenCV, Excel. Outcompeted by peers on specific technical depth."
CAND_0095308,70,23.71,"They are a moderate fit. A 9.2-year Frontend Engineer whose core strengths include OpenCV, Flask, HTML. Doesn't quite match the strict technical density we want."
CAND_0039587,71,23.7,"Acceptable profile. A Data Engineer with 6.2 YOE, demonstrating expertise across Sentence Transformers, TTS, Java. Outcompeted by peers on specific technical depth."
CAND_0071339,72,23.69,"Standing out as a moderate fit, this DevOps Engineer offers 5.9 years of experience focusing on Flask, Weaviate, Object Detection. Doesn't quite match the strict technical density we want."
CAND_0020653,73,23.68,"With 4.6 years as a Analytics Engineer, their strong background in Reinforcement Learning, ETL, Data Science positions them as acceptable but lacking some depth. They lack the deeper specialization seen in top candidates."
CAND_0093049,74,23.68,"Considered an acceptable profile primarily due to their 8.4 years of experience in HTML, Tally, Salesforce CRM as a Mobile Developer. They lack the deeper specialization seen in top candidates."
CAND_0069838,75,23.66,"Shows a strong foundation in Figma, Sales, Spark over a 10.9-year career as a Mechanical Engineer. Has potential but lacks some depth. While capable, other candidates offer more direct experience."
CAND_0056011,76,23.64,"Their 6.4-year track record as a Software Engineer with Redux, Feature Engineering, Terraform makes them a moderate fit for the role. They lack the deeper specialization seen in top candidates."
CAND_0068424,77,23.64,"Reasonable candidate. Their 5.9 years in Cloud Engineer roles heavily feature Learning to Rank, Salesforce CRM, Databricks. Outcompeted by peers on specific technical depth."
CAND_0076190,78,23.64,"Has potential but lacks some depth. A Accountant with 7.5 YOE, demonstrating expertise across PostgreSQL, Node.js, Apache Flink. Doesn't quite match the strict technical density we want."
CAND_0091061,79,23.61,"Specializing in FastAPI, React, Illustrator, this Cloud Engineer's 8.7 years of experience makes them an acceptable profile. While capable, other candidates offer more direct experience."
CAND_0055664,80,23.6,"Standing out as acceptable but lacking some depth, this Accountant offers 10.3 years of experience focusing on SQL, Illustrator, Next.js. Outcompeted by peers on specific technical depth."
CAND_0030055,81,23.59,"With 3.4 years under their belt, this QA Engineer stands out for SAP, Fine-tuning LLMs, Data Science. Borderline candidate. Outcompeted by peers on specific technical depth."
CAND_0095343,82,23.59,"Shows a strong foundation in Kubernetes, Microservices, Diffusion Models over a 4.6-year career as a .NET Developer. Weaker alignment. Doesn't quite match the strict technical density we want."
CAND_0006983,83,23.58,"Brings 9.3 years as a QA Engineer with deep knowledge in Data Science, Hadoop, GANs. Weaker alignment. Outcompeted by peers on specific technical depth."
CAND_0079304,84,23.58,"Considered falling short on core requirements primarily due to their 6.6 years of experience in Six Sigma, CI/CD, HTML as a Mechanical Engineer. They lack the deeper specialization seen in top candidates."
CAND_0006705,85,23.55,"Considered a marginal fit primarily due to their 8.4 years of experience in GraphQL, BigQuery, Docker as a Cloud Engineer. Doesn't quite match the strict technical density we want."
CAND_0017177,86,23.55,"Specializing in GCP, Go, Microservices, this DevOps Engineer's 6.9 years of experience makes them a marginal fit. They lack the deeper specialization seen in top candidates."
CAND_0044669,87,23.55,"Considered a weaker alignment primarily due to their 7.8 years of experience in AWS, SAP, Photoshop as a Frontend Engineer. They lack the deeper specialization seen in top candidates."
CAND_0000955,88,23.53,"Considered a marginal fit primarily due to their 1.5 years of experience in Data Pipelines, BigQuery, Salesforce CRM as a Mobile Developer. Doesn't quite match the strict technical density we want."
CAND_0014410,89,23.53,"Their 4.6-year track record as a Frontend Engineer with PEFT, gRPC, Scrum makes them falling short on core requirements for the role. Doesn't quite match the strict technical density we want."
CAND_0031497,90,23.53,"They are a marginal fit. A 2.6-year Project Manager whose core strengths include Accounting, dbt, Illustrator. They lack the deeper specialization seen in top candidates."
CAND_0048489,91,23.53,"Standing out as a borderline candidate, this Software Engineer offers 5.8 years of experience focusing on GCP, Spark, SAP. Doesn't quite match the strict technical density we want."
CAND_0016120,92,23.5,"Standing out as falling short on core requirements, this Full Stack Developer offers 8.2 years of experience focusing on Embeddings, Image Classification, Sales. While capable, other candidates offer more direct experience."
CAND_0025131,93,23.5,"Borderline candidate. Brings 8.7 years as a Project Manager with deep knowledge in AWS, HTML, Data Science. They lack the deeper specialization seen in top candidates."
CAND_0067775,94,23.5,"Considered a marginal fit primarily due to their 8.2 years of experience in Kafka, ASR, Next.js as a Software Engineer. While capable, other candidates offer more direct experience."
CAND_0007962,95,23.46,"Due to their solid 6.4 years working as a Senior Data Engineer with ETL, Reinforcement Learning, Data Science, they rank as a borderline candidate. They lack the deeper specialization seen in top candidates."
CAND_0008631,96,23.46,"Considered a borderline candidate primarily due to their 4.5 years of experience in CSS, Django, MLOps as a Project Manager. They lack the deeper specialization seen in top candidates."
CAND_0076453,97,23.46,"Standing out as falling short on core requirements, this Senior Software Engineer offers 3.2 years of experience focusing on Figma, Learning to Rank, SEO. While capable, other candidates offer more direct experience."
CAND_0015362,98,23.45,"Marginal fit. Their 7.3 years in Software Engineer roles heavily feature PowerPoint, Agile, Java. While capable, other candidates offer more direct experience."
CAND_0053538,99,23.45,"Considered falling short on core requirements primarily due to their 7.8 years of experience in CNN, Computer Vision, Weaviate as a Data Analyst. Doesn't quite match the strict technical density we want."
CAND_0004288,100,23.44,"Considered a marginal fit primarily due to their 4.9 years of experience in PowerPoint, Kafka, Spark as a Full Stack Developer. Doesn't quite match the strict technical density we want."
